รายวิชาเพิ่มเติม ม.2  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,อังคาร,,พุธ,,พฤหัสบดี,,ศุกร์,
อ20219,สนทนาพาเขียนนานาอาชีพ 1,0.5,1,ศึกษาคำศัพท์ชื่ออาชีพต่างๆและข้อมูลเกี่ยวกับอาชีพที่น่าสนใจ ผ่านทางคลิปวีดีโอสั้นภาษาไทยและภาษาอังกฤษ นักเรียนได้มีส่วนร่วมในการกำหนดหัวข้ออาชีพที่สนใจเรียน ฝึกทักษะการฟัง ผ่านการดูวิดีทัศน์ ฝึกทักษะการพูด ผ่านการพูดแสดงความคิดเห็นแบบง่ายๆในห้องเรียน ฝึกทักษะการอ่าน ผ่านการอ่านบทบรรยายใต้ภาพในวีดิทัศน์หรือข้อมูลน่าสนใจเกี่ยวกับอาชีพ ฝึกทักษะการเขียน ผ่านการช่วยกันแต่งประโยค เขียนเป็นความเรียงเกี่ยวกับสิ่งที่ได้เรียนรู้เรื่องอาชีพในแต่ละคาบเรียน,อ.อศินา,1,25,-,,,,,✔,,,
,,,,,อ.ใหม่,2,25,,,,✔,,,,,
ญ22215,ภาษาญี่ปุ่นน่ารู้ 3,1,2,"ศึกษาภาษาและวัฒนธรรมญี่ปุ่น ตัวอักษรคันจิ การสั่ง 
การขอร้อง การอธิบายสภาพต่างๆ โดยมีรายละเอียด ได้แก่ การเข้าใจคำสั่งหรือคำขอร้องในสถานการณ์ต่างๆ ในโรงเรียน การพูดขอร้อง การตอบรับหรือปฏิเสธคำขอร้อง การสอบถามเส้นทาง และวิธีการเดินทางของสถานที่ที่ไม่เคยไปมาก่อน 
การอธิบายเส้นทางไปยังสถานที่ต่างๆ การอธิบายการแต่งกาย รูปร่าง หน้าตา นิสัย งานอดิเรกของคนในครอบครัว เพื่อน หรือสัตว์เลี้ยงให้แก่คนที่ไม่รู้จัก ครบทั้งทักษะการฟัง พูด อ่าน เขียน",อ.ทาเคชิ,1,35,-,,,,,✔,✔,,
ฝ22215,ภาษาฝรั่งเศสน่ารู้ 3,1,2,เสริมสร้างความรู้ภาษาฝรั่งเศส ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาฝรั่งเศส และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.วิรัชวิชชา,1,35,-,,,✔,✔,,,,
จ22215,ภาษาจีนน่ารู้ 3,1,2,เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.ถาน,1,35,-,,,,,✔,✔,,
ก22216,ภาษาเกาหลีน่ารู้ 3,1,2,เสริมสร้างความรู้ภาษาเกาหลี ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาเกาหลี และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.ใหม่,1,35,-,,,,,,,✔,✔
ป20215,ภาษาสเปนน่ารู้ 1,1,2,ศึกษาไวยากรณ์ขั้นพื้นฐานของภาษาสเปน หลักการออกเสียงที่ถูกต้อง การอ่านประโยคหรือข้อความสั้น ๆ การสนทนาระดับพื้นฐานในชีวิตประจำวัน,อ.เบญจมาศ,1,8,-,,,,,✔,✔,,
กลุ่มกิจกรรมพัฒนาผู้เรียน,,,,,,,,,,,,,,,,
พ22262,วัยรุ่นสุขภาพดี,1,2,"ศึกษาการดูแลสุขภาพตนเองอย่างเหมาะสม ผ่านความรู้
ด้านโภชนาการ การออกกำลังกาย การพักผ่อน และ
การจัดการความเครียด เพื่อคุณภาพชีวิตที่ดีในช่วงวัยรุ่น",อ.จ.ส.ต.ธยศ,1,35,-,,,,,,,✔,✔
พ20203,กองร้อยพิเศษ 3,1,2,ฝึกฝนตนเองผ่านการจัดกิจกรรมลูกเสือ – เนตรนารี มุ่งพัฒนาความมีระเบียบวินัย ความเป็นผู้นำผู้ตามที่ดี  ความรับผิดชอบ การทำงานร่วมกัน การรู้จักแก้ปัญหา การตัดสินใจที่เหมาะสม ความมีเหตุผล การช่วยเหลือ แบ่งปันกัน การประนีประนอม เพื่อส่งเสริมให้ผู้เรียนเจริญเติบโตเป็นผู้ใหญ่ที่มีความสมบูรณ์พร้อมทั้งด้านร่างกาย จิตใจ อารมณ์ สังคมและสติปัญญา เพื่อให้ลูกเสือในสถานศึกษามีความรู้ ความเข้าใจในวิชาต่าง ๆ ของกิจกรรมลูกเสือ – เนตรนารีได้อย่างลึกซึ้งมากยิ่งขึ้น,อ.ชวลิต,1,25,-,,,,,,,✔,✔
