รายวิชาเพิ่มเติม ม.5  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,,
ส32240,นักสืบประวัติศาสตร์,1,2,"ศึกษาธรรมชาติของประวัติศาสตร์และวิชาประวัติศาสตร์ 
มิติการเปลี่ยนแปลง มโนทัศน์ต่อทิศทางของสังคม และการศึกษาอย่างลึกซึ้งในประเด็นทางประวัติศาสตร์ที่สนใจโดยใช้วิธีการทางประวัติศาสตร์ และการศึกษาจากหลักฐานและแหล่งเรียนรู้ทางประวัติศาสตร์",อ.พลอยสิริ,1,ทุกกลุ่ม,20,-,,,,,,,,,,,,,,,,,✔,✔
ส32246,มนุษย์และสิ่งแวดล้อม,0.5,1,ศึกษาความสัมพันธ์ระหว่างมนุษย์และสิ่งแวดล้อม ระบบนิเวศ สถานการณ์ สาเหตุ ผลกระทบของปัญหาสิ่งแวดล้อมโลก และแนวทางการแก้ปัญหาสิ่งแวดล้อมโลก การร่วมมือของประเทศต่าง ๆ ในการอนุรักษ์สิ่งแวดล้อม,ผศ.ดร.ศรัณย์พร,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,✔,,,,,,
ส32249,เสพศิลป์สะท้อนสังคม,1,2,ศึกษาพัฒนาการทางศิลปะของไทยตั้งแต่สมัยโบราณจนถึงสมัยปัจจุบัน ในฐานะที่เป็นกระจกสะท้อนพัฒนาการทางภูมิปัญญา ความคิด ความเชื่อ ค่านิยมและสังคมไทย,อ.พงษ์ภัค,1,ศิลป์,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,,,,,✔,✔,,,,,,,,,,
ส32251,นวัตกรรมเพื่อสังคมอนาคต,0.5,1,"ศึกษาการพัฒนาและสร้างนวัตกรรมของมนุษยชาติ ตั้งแต่ยุคโบราณจนถึงปัจจุบัน การถอดบทเรียน การคิดค้น ต่อยอด 
จุดเปลี่ยนของนวัตกรรมในยุคต่าง ๆ การหาแนวทางร่วมมือพัฒนาและแก้ไขสถานการณ์ปัญหาต่าง ๆ ที่เกิดขึ้นในระดับภูมิภาคหรือโลกร่วมกันโดยใช้นวัตกรรมที่ส่งผลต่อการดำเนินชีวิตประจำวันอย่างมีคุณภาพ รวมถึงวิเคราะห์แนวโน้ม
การเปลี่ยนแปลงของสังคมในอนาคต",อ.สรายุุทธ,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,✔,,,,,
ส32258,การจัดการความเสี่ยงและประกันภัย,1,2,ศึกษาความรู้เบื้องต้นเกี่ยวกับประเภทความเสี่ยง การจัดการความเสี่ยงด้วยการประกันภัย การอ่านกรมธรรม์ประกันชีวิต ประกันสุขภาพ ประกันอุบัติเหตุ ประกับยานพาหนะ ประกันการเดินทาง ประกันอสังหาริมทรัพย์ การเลือกใช้ผลิตภัณฑ์ในด้านการประกันภัย และการจัดการความเสี่ยงในชีวิตของตนเองได้อย่างเหมาะสม,อ.สรายุทธ,1,ทุกกลุ่ม,35,-,,,✔,✔,,,,,,,,,,,,,,
ส30238,โลกแห่งความคิดและการใช้เหตุผล,0.5,1,"ศึกษาแนวคิดของนักปรัชญาตะวันออกและตะวันตก การใช้ตรรกะ และรู้เท่าทันตรรกะวิบัติ  ผ่านกรณีศึกษาประวัติศาสตร์และเหตุการณ์ปัจจุบัน โดยใช้ การจัดการเรียนรู้รูปแบบ
โสเครตีส ที่เน้นการโต้เถียงทางความคิดและการโต้วาที เพื่อให้นักเรียน มีการคิดอย่างเป็นระบบ สามารถแยกแยะข้อเท็จจริงออกจากอคติและการให้เหตุผลที่ผิด และ ใช้เหตุผลโน้มน้าวและสร้างความเข้าใจในการสื่อสาร และเปิดรับความเห็นต่างผ่านการเข้าใจบริบททางประวัติศาสตร์และปรัชญา",อ.ดร.สิริภัทร,1,ทุกกลุ่ม,35,-,,,,,,,,,✔,,,,,,,,,
ส32259,"พลวัตแฟชั่นกับสุนทรียภาพ
ในสังคม",0.5,1,ศึกษาความสัมพันธ์ระหว่างแฟชั่นกับสุนทรียภาพ แนวคิดและทฤษฎีว่าด้วยความงามในสังคม อธิบายวิเคราะห์ประวัติศาสตร์แฟชั่น พัฒนาการทางการออกแบบเครื่องแต่งกายในแต่ละยุคสมัย เพื่อนำมาสู่ความเข้าใจในบทบาทของแฟชั่นต่อค่านิยม ความเชื่อและการเปลี่ยนแปลงทางสังคม เพื่อเตรียมความพร้อมในการเผชิญและสร้างสรรค์แนวโน้มใหม่ในโลกแฟชั่น,อ.พิสิษฐ,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,,✔,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,,,,,,,,,,,,
พ32242,กิจกรรมตะกร้อ,1,2,ปฏิบัติกิจกรรมตะกร้อ กิจกรรมการเคลื่อนไหวเบื้องต้นและนันทนาการมาประยุกต์ใช้,อ.ธนวิทย์,1,ทุกกลุ่ม,18,-,,,,,,,,,,,,,,,,,✔,✔
พ32252,บาสเกตบอลขั้นสูง,1,2,"ศึกษาหลักการ กติกา และรูปแบบการเล่นกีฬาบาสเกตบอล
ขั้นสูง ฝึกทักษะและเทคนิคการเล่นเชิงลึก การวางแผนกลยุทธ์ การเล่นเป็นทีม และการแก้ปัญหาเฉพาะหน้า พัฒนาความเป็นผู้นำ วินัย ความรับผิดชอบ น้ำใจนักกีฬา และสมรรถภาพทางกาย เพื่อการเล่นกีฬาอย่างถูกต้อง ปลอดภัย และมีประสิทธิภาพ",อ.สุพัฒน์พงศ์,1,ทุกกลุ่ม,25,-,,,,,✔,✔,,,,,,,,,,,,
พ32234,ซอฟท์บอลเพื่อการแข่งขัน 3,1,2,ฝึกทักษะและเทคนิคพื้นฐานที่สำคัญของการเป็นผู้เล่นฝ่ายรับเพื่อการแข่งขันกีฬาซอฟท์บอล เข้าใจบทบาทหน้าที่ของผู้เล่นฝ่ายรับตำแหน่งต่าง ๆ และการนำไปใช้เพื่อการแข่งขัน,อ.สุพัฒน์พงศ์,1,ทุกกลุ่ม,25,-,,,,,,,,,,,,✔,✔,,,,,
พ32232,การเป็นผู้นำเกมนันทนาการ,1,2,"ฝึกทักษะการเป็นผู้นำนันทนาการ และเสริมความรู้ในเรื่อง
ของกิจกรรมนันทนาการประเภทต่างๆ เพราะผู้นำนันทนาการ เป็นผู้ที่มีบทบาทและหน้าที่สำคัญของการดำเนินกิจกรรมนันทนาการ ให้บรรลุเป้าหมายได้อย่างมีประสิทธิภาพ และนอกจากจะมีความรู้แล้วยังต้องสามารถนำความรู้และทักษะ
ที่มีอยู่ มาถ่ายทอดได้อย่างมีประสิทธิภาพ",อ.ทรงพล,1,ทุกกลุ่ม,20,-,,,✔,✔,,,,,,,,,,,,,,
พ32214,เทคนิคการเป็นผู้ตัดสินกีฬาฮอกกี้ 2,1,2,"ศึกษาและวิเคราะห์กติกาการแข่งขันกีฬาฮอกกี้ฉบับปัจจุบันของสหพันธ์ฮอกกี้นานาชาติ (FIH) อย่างละเอียด รวมถึง
จรรยาบรรณและบทบาทหน้าที่ของผู้ตัดสินที่มีต่อเกมการแข่งขัน ฝึกทักษะพื้นฐานในการตัดสิน ได้แก่ การใช้สัญญาณมือ การใช้เสียงนกหวีด การจัดวางตำแหน่ง และ การเคลื่อนที่ในสนาม เพื่อให้ครอบคลุมทุกมุมมองของเกม",อ.ฉฏาธร,1,ทุกกลุ่ม,25,-,,,,,,,,,,✔,✔,,,,,,,
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ศ32226,ดนตรีกับการแสดง,1,2,"ศึกษาหลักการแสดงดนตรี ที่ใช้ประกอบการแสดงต่าง ๆ ทั้งในด้านการแสดงดนตรีสด และการบรรเลงผ่านวิดีทัศน์ (MV) โดยใช้ทักษะการลงมือปฏิบัติจริง และการออกแบบเพลงผ่าน
การสืบค้นข้อมูลที่ตนเองสนใจ รวมถึงการกำกับการแสดงผ่านทำงานเป็นทีม เพื่อสร้างสรรค์ผลงานด้านศิลปะทางดนตรีและการแสดง",อ.ภูวิศ,1,ทุกกลุ่ม,20,-,,,,,✔,✔,,,,,,,,,,,,
ศ30267,ทักษะดนตรีไทยขั้นกลาง,1,2,ศึกษาพื้นฐานดนตรีไทย ได้แก่ ประเภทและลักษณะเครื่องดนตรี การอ่านเขียนโน้ตไทย การฟังและวิเคราะห์องค์ประกอบดนตรี ฝึกทักษะบรรเลงรายบุคคล พัฒนาเทคนิคควบคุมจังหวะ น้ำหนักเสียง และความถูกต้อง ฝึกบรรเลงรวมวงอย่างเป็นระบบ เพื่อนำเสนอผลงานอย่างเหมาะสม ปลูกฝังเจตคติที่ดีต่อศิลปวัฒนธรรมไทย และประยุกต์ใช้ทักษะดนตรีไทยในชีวิตหรืออาชีพได้อย่างเหมาะสม,อ.สโรชา,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6",,,,,,,,,,,,✔,✔,,,,,
