รายวิชาเพิ่มเติม ม.3  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
ง23273,นักปลูกไฮโดรพอนิกส์,1,2,"ศึกษาและฝึกปฏิบัติการปลูกผักไร้ดินระบบไฮโดรพอนิกส์
ขั้นพื้นฐาน ครอบคลุมตั้งแต่การเตรียมวัสดุ เพาะเมล็ด ดูแลจัดการระบบ จนถึงการเก็บเกี่ยวผลผลิต มุ่งเน้นการพัฒนาทักษะการคิดวิเคราะห์ แก้ปัญหา และทำงานเป็นทีม เพื่อวางรากฐานสู่อาชีพและเสริมสร้างความตระหนักด้านการผลิตอาหารปลอดภัย",อ.ดร.อริสา,1,20,-,,,,,✔,✔,,
ง20272,ช่างคิดส์ ช่างทำ,1,2,"ศึกษาทักษะ กระบวนการทำงานด้านงานช่างในแขนงต่าง ๆ 
ที่ตอบรับกับเทคโนโลยีและความต้องการของท้องตลาดที่เปลี่ยนแปลงในปัจจุบัน ผ่านกระบวนการออกแบบพัฒนาผลิตภัณฑ์อย่างสร้างสรรค์ และลงมือปฏิบัติด้วยตนเอง เพื่อต่อยอดนวัตกรรมหรือเพิ่มมูลค่าให้กับผลิตภัณฑ์ในทางธุรกิจ",อ.วนาลี,1,20,-,✔,✔,,,,,,
ง23273,นักออกแบบการเดินทาง,1,2,"ฝึกทักษะการวางแผนการท่องเที่ยวอย่างเป็นระบบเป็น ""Travel Agent"" มือโปร การคำนวณงบประมาณ การจองที่พักและตั๋วเดินทาง และการจัดตารางเวลา (Itinerary) ให้คุ้มค่าและตอบโจทย์ความต้องการที่หลากหลาย","อ.ปานิสา / 
อ.สหภัทร 
",1,30,-,,,✔,✔,,,,
"กลุ่มสาระการเรียนรู้
ภาษาต่างประเทศ",,,,,,,,,,,,,,,,
อ23233,เสริมทักษะนักเรียนความสามารถสูง 5,1,2,"ศึกษาภาษาอังกฤษสำหรับนักเรียนกลุ่มที่มีความสามารถทางภาษาอังกฤษสูงผ่านประสบการณ์ตรงโดยการลงมือทำ เพื่อเพิ่มพูนประสบการณ์การใช้ภาษา ( enrichment ) มากขึ้น กิจกรรมจะให้นักเรียนมีโอกาสใช้ภาษาอังกฤษโดยเน้น
ความคิดสร้างสรรค์ การสร้างนวัตกรรม การทำงานร่วมกัน 
การคิดวิเคราะห์ ให้เกิดความสุขในการเรียน (Fulfillment)","New Teacher / 
อ.วราเดช",1,25,เฉพาะนักเรียนโครงการ High-Ability,,,✔,✔,,,,
อ23235,"กิจกรรมเพิ่มพูนคำศัพท์
ภาษาอังกฤษ 5",0.5,1,"เรียนรู้คำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์ไปใช้งานในชีวิตประจำวันและตามความสนใจ รวมถึงศึกษา
องค์ประกอบของคำ คำความหมายคล้าย ความหมาย
ตรงกันข้าม",อ.ศศิธร,1,35,-,,,,✔,,,,
,,,,,อ.ศศิธร,2,35,,,,,,✔,,,
,,,,,อ.ใหม่,3,35,,,✔,,,,,,
อ23229,"เสริมทักษะการอ่าน
ภาษาอังกฤษ 5",0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิค
การอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจ
และการอ่านออกเสียงขั้นพื้นฐาน",อ.ศศิธร,1,35,-,,,,,,,✔,
,,,,,อ.ใหม่,2,35,,✔,,,,,,,
,,,,,อ.ศศิธร,3,35,,,,,,,✔,,
,,,,,อ.ใหม่,4,35,,,,✔,,,,,
อ23231,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 5",0.5,1,ฝึกทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม (context),อ.สุพิสัณห์,1,35,-,✔,,,,,,,
,,,,,อ.สุพิสัณห์,2,35,,,,,,✔,,,
อ23283,วิเคราะห์ไวยากรณ์ผ่านข้อสอบ,0.5,1,ฝึกวิเคราะห์ไวยากรณ์ผ่านข้อสอบจริง,อ.ดร.ณัฐมน,1,35,-,✔,,,,,,,
