รายวิชาเพิ่มเติม ม.6  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,อังคาร,,,,,พุธ,,,,,พฤหัสบดี,,ศุกร์,,,,
ว30225,ความถนัดทางวิชาชีพแพทย์,1,2,"การพัฒนาตนเองและสร้างทัศนคติเพื่อการเตรียมตัวสำหรับการศึกษาต่อระดับอุดมศึกษา เพื่อการเข้าสู่วิชาชีพ และ
การประกอบวิชาชีพทางการแพทย์","ผศ.ดร.
นพ.ชุติวิชัย 
/และคณะ",1,วิทย์-คณิต,30,-,,,,,,,,,✔,✔,,,,,,,,,,,,
ว30240,อาหารสมุนไพรและโภชนาการ,1,2,ศึกษาเกี่ยวกับการใช้สมุนไพรทำอาหารในเมนูต่าง ๆ เรียนรู้ความหมายและการนำสมุนไพรไปใช้เป็นยาตามตำรับยา และประโยชน์ในด้านต่าง ๆ ,"อ.นลิน / อ.ภัสรา / อ.มินท์ธิยา 
/ อ.ฐิตินันท์ ",1,วิทย์-คณิต,30,-,,,,,,✔,✔,,,,,,,,,,,,,,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส33234,เสน่ห์วัฒนธรรมโลก,0.5,1,ศึกษาความเป็นมาและความเจริญของมนุษย์ในการสร้างสรรค์ศิลปะตั้งแต่สมัยก่อนประวัติศาสตร์ สมัยโบราณ สมัยกลาง สมัยใหม่ จนถึงสมัยปัจจุบัน ปฏิสัมพันธ์ระหว่างสภาพสังคม เศรษฐกิจ การเมืองกับปัญญาความคิดและงานสร้างสรรค์ทางศิลปะในแต่ละสมัย สุนทรียภาพของงานที่สะท้อนความเจริญของมนุษย์ในแต่ละสมัย,อ.อภิรดี,1,ทุกกลุ่ม,35,-,✔,,,,,,,,,,,,,,,,,,,,,
ส33241,วิถีบางกอก,1,2,ศึกษาโครงสร้างทางสังคมและลักษณะทางสังคมเมืองในประเด็นต่าง ๆ เช่น ความหลากหลาย ความขัดแย้ง ความไม่เป็นธรรมในสังคม ค่านิยม การพัฒนาที่ยั่งยืน และการพึ่งพาอาศัยกัน โดยใช้บริบทของกรุงเทพมหานครเป็นกรณีตัวอย่าง ศึกษาการเปลี่ยนแปลงด้านสังคมและวัฒนธรรมเมือง ปัญหาที่เกิดจากการเปลี่ยนแปลง แนวทางในการป้องกันและแก้ปัญหาที่เกิดขึ้น พร้อมทั้งนำเสนอวิถีชีวิตของพลเมืองในสังคมเมืองที่มีความรับผิดชอบ,อ.พลอยสิริ,1,ทุกกลุ่ม,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,,,,✔,✔,,,,,,,,,,,,,,,
ส33255,กฏหมายทรัพย์สินทางปัญญาที่ควรรู้,1,2,ศึกษาประเภทของทรัพย์สินทางปัญญา และกฎหมายที่เกี่ยวข้องกับการคุ้มครองทรัพย์สินทางปัญญา ปัญหาเกี่ยวกับการละเมิดทรัพย์สินทางปัญญาและการแก้ไขปัญหา,อ.สรายุทธ,1,ทุกกลุ่ม,35,-,,✔,✔,,,,,,,,,,,,,,,,,,,
ส33256,ออกแบบเมืองสร้างสุข,0.5,1,"ศึกษาการกำเนิด การกระจายตัวของเมือง ปัจจัยที่มีผลต่อการเจริญเติบโตของเมือง บทบาทหน้าที่ของเมือง ความสัมพันธ์ระหว่างโครงสร้างเมืองกับรูปแบบการใช้ที่ดิน แบบแผน
การตั้งถิ่นฐาน ความสัมพันธ์ทางสังคม วิถีชีวิตและพฤติกรรมของชาวเมือง และประเด็นปัญหาของเมือง ตลอดจนแนวคิดการออกแบบ วางแผนพัฒนาเมืองในอนาคต และการใช้ชีวิตร่วมกันในเมืองอย่างยั่งยืน ผ่านการลงพื้นที่และอภิปรายผ่านกรณีศึกษา",อ.บุญฤทธิ์,1,ทุกกลุ่ม,35,-,,,,,,,,✔,,,,,,,,,,,,,,
ส33257,"การประกอบการและ
การตลาดดิจิทัล",0.5,1,"ศึกษาแนวคิดการเป็นผู้ประกอบการ กระบวนการเพื่อ
การปรับตัวในการประกอบการ ทฤษฎี แนวคิด ความหมายของการตลาด ภาพรวมการตลาด การตลาดเพื่อความยั่งยืน การส่งเสริมการตลาด การจัดการความเปลี่ยนและการเปลี่ยนแปลง การสร้างความเข้าใจในลูกค้าและสังคม การประกอบการในธุรกิจออนไลน์และออฟไลน์ การจัดการชื่อเสียงในสื่อสังคมออนไลน์ การสร้างความยั่งยืนในการประกอบธุรกิจออนไลน์และออฟไลน์",อ.กมลชนก,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,,,,,,,✔,
ส33258,มนุษย์มิติ,0.5,1,"ศึกษาองค์ประกอบพื้นฐานของสังคมมนุษย์ ความเหมือนและความต่างของมนุษย์ที่อาศัยในพื้นที่ต่าง ๆ ของโลก แนวคิด
ทางมานุษยวิทยา มุมมอง ทฤษฎี รูปแบบวิธีการศึกษาเกี่ยวกับมนุษย์ การศึกษาข้อมูลจากการลงพื้นที่ การสัมภาษณ์ ระบบแนวคิดของกลุ่มคนที่มีลักษณะเฉพาะตัว รวมถึงมานุษยวิทยากับประเด็นโลกร่วมสมัย เช่น มานุษยวิทยาการแพทย์ มานุษยวิทยาสิ่งแวดล้อม มานุษยวิทยาเศรษฐกิจ มานุษยวิทยาดนตรี และมานุษยวิทยาวัฒนธรรมสมัยใหม่",อ.ดร.สิริภัทร,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,,,,✔,,,,
ส33259,แบกเป้ตะลุยโลก,0.5,1,"ศึกษาเกี่ยวกับประเภทของการท่องเที่ยว ปัจจัยทางภูมิศาสตร์
ที่มีผลต่อการท่องเที่ยว รูปแบบการท่องเที่ยว โครงสร้างอุตสาหกรรมการท่องเที่ยว แนวทางการพัฒนาอุตสาหกรรมการท่องเที่ยวไทย การวางแผนการจัดนำเที่ยว การท่องเที่ยวเชิงธรรมชาติ การท่องเที่ยวเชิงวัฒนธรรม การท่องเที่ยว
ร่วมสมัย ปัญหาและผลกระทบจากการท่องเที่ยว แนวทาง
การแก้ไขและการจัดการท่องเที่ยวอย่างยั่งยืน",อ.ปรารถนา,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,,,,,,,,✔
