รายวิชาเพิ่มเติม ม.4  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,อังคาร,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,
ศ30225,"ทักษะประกวดดนตรีไทย
ขั้นต้น",1,2,"ศึกษาทักษะการประกวดดนตรีไทย โดยเฉพาะพื้นฐานการบรรเลง ในเครื่องดนตรีไทยทุกชนิด รวมไปถึงการออกแบบแนวทางการประกวด การศึกษาอ่านโน้ตเพลง แนวทางวาง
ตารางการฝึกฝน และการมีสมาธิจดจ่อกับการบรรเลงดนตรีในรูปแบบการบรรเลงขั้นพื้นฐาน และพัฒนาไปสู่ทักษะระดับกลาง ผ่านการเรียนแบบลงมือปฏิบัติจริง โดยมีวิทยากรคอยให้คำปรึกษา และแนะแนวทางการปฏิบัติ เพื่อเตรียมความพร้อมสำหรับประกวดดนตรี และพัฒนาความเข้าใจหลักการประกวดตามเกณฑ์ที่ถูกต้องและเหมาะสมกับรายการนั้น ๆ ",อ.ภูวิศ,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, เฉพาะนักดนตรีไทยที่ผ่านคัดเลือก",,,,,,,,,,,✔,✔,,,,
ศ30254,"ทักษะทางสถาปัตยกรรม
ขั้นต้น",1,2,"ฝึกทักษะพื้นฐานด้านการวาดเส้น การมองภาพสามมิติ
ความคิดสร้างสรรค์ และการออกแบบ ","อ.น้ำทิพย์ / 
อ.ปาลิดา / 
อ.พิมพิศา",1,ทุกกลุ่ม,20,-,,,,,,✔,✔,,,,,,,,,
ศ30233,การถ่ายภาพเพื่อการโฆษณา,1,2,"ศึกษาพื้นฐานการถ่ายภาพเบื้องต้น เทคนิคกล้องและไฟ 
แสงธรรมชาติ การผสมแสง และการจัดองค์ประกอบของ
การถ่ายภาพแฟชั่นและภาพบุคคล ","อ.เด่นสิน / อ.วรัท / อ.กานต์ / 
อ.สิทธิกร",1,ทุกกลุ่ม,5,-,,,,,,,,,,,✔,✔,,,,
กลุ่มสาระการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,,,,,,,,,,
ง30204,การจัดการธุรกิจดิจิทัล,1,2,"ศึกษาธุรกิจในยุคดิจิทัล แนวคิด Digital Transformation กรณีศึกษาธุรกิจที่ทำ Digital Transformation หลักการ Digital Transformation Canvas สื่อดิจิทัลและเทคโนโลยีต่อส่วนผสมทางการตลาด บทบาทของการตลาดดิจิทัล และคำศัพท์ใน
การตลาดดิจิทัล ผลกระทบของสื่อดิจิทัลและเทคโนโลยีต่อส่วนผสมทางการตลาด การตลาดสื่อสังคมออนไลน์ กลยุทธ์
การตลาดดิจิทัล การวัดผลการตลาดดิจิทัล",อ.ดร.อุษาสุดา,1,ทุกกลุ่ม,25,ต้องมีคอมพิวเตอร์พกพา หรือ iPad,,✔,✔,,,,,,,,,,,,,
ง30208,เขียนแบบเพื่อการศึกษาต่อ,1,2,เรียนรู้และฝึกทักษะการเขียนแบบทั้งบนกระดาษและคอมพิวเตอร์สำหรับสร้างผลงานเข้าศึกษาต่อในระดับอุดมศึกษาในคณะและสาขาวิชาที่เกี่ยวข้อง,อ.พริ้วฝน,1,ทุกกลุ่ม,18,-,,,,,,,,,✔,✔,,,,,,
ง30225,ห้องเรียนสกัดสมุนไพร,1,2,"ศึกษาความหมาย ความสำคัญ และประเภทของสมุนไพร
พืชสมุนไพรและสารสำคัญที่พบ ปฏิบัติการเตรียมสารสกัดจากพืชสมุนไพรด้วยวิธีการต่างๆ รวมถึงการออกแบบผลิตภัณฑ์สมุนไพรโดยผ่านกระบวนการคิดอย่างสร้างสรรค์",อ.โมริสา,1,ทุกกลุ่ม,25,-,,,,,,,,,,,,,✔,✔,,
"กลุ่มสาระการเรียนรู้
ภาษาต่างประเทศ",,,,,,,,,,,,,,,,,,,,,,,,,
ฝ31201,ภาษาฝรั่งเศส 1,3,6,ศึกษาการใช้ภาษาฝรั่งเศสในสถานการณ์ต่าง ๆ ที่ข้องกับชีวิตประจำวัน สื่อสาร อ่านออก เสียง และสร้างประโยคได้ถูกต้องตามหลักไวยกรณ์และการออกเสียง เข้าใจความเหมือนและความแตกต่างระหว่างวัฒนธรรมฝรั่งเศสกับวัฒนธรรมไทย และตระหนักในประโยชน์และคุณค่าของการเรียนภาษาและวัฒนธรรมฝรั่งเศส รวมถึงใช้ภาษาฝรั่งเศสในการสืบค้น ค้นคว้า รวบรวมและสรุปข้อมูล ข้อเท็จจริงจากสื่อและแหล่งเรียนรู้ต่าง ๆ โดยผ่านกระบวนการทางภาษา ได้แก่ ฟัง พูด อ่าน และเขียน การสังเกต การวิเคราะห์ การสืบเสาะหาความรู้ กระบวนการกลุ่ม ด้วยการถ่ายโอนความรู้เป็นประโยคง่าย ๆ และข้อความสั้น ๆ,"อ.วิรัชวิชชา / 
อ.ณิชาภัทร",1,ศิลป์-ฝรั่งเศส,10,-,✔,,,✔,✔,,,✔,✔,✔,,,,,,
ย31201,ภาษาเยอรมัน 1,3,6,"ศึกษาคำศัพท์ วลี ประโยคภาษาเยอรมัน ฝึกทักษะการฟัง พูด อ่าน เขียน ภาษาเยอรมันที่ใช้ในกิจวัตรประจำวัน ในหัวข้อ
เกี่ยวกับตนเอง และเรื่องใกล้ตัว เช่นการทักทาย การแนะนำตัว ครอบครัว งานอดิเรก โรงเรียน เทศกาล",อ.ณัฏฐริญา,1,ศิลป์-เยอรมัน,10,-,✔,,,✔,✔,,,✔,✔,✔,,,,,,
จ31201,ภาษาจีน 1,3,6,"เรียนภาษาจีนผ่านความเข้าใจและอ่านออกเสียงพยัญชนะ 
สระ วรรณยุกต์ ในระบบ 汉语拼音hanyupinyin มีทักษะ
การพูด,ฟัง,อ่าน,เขียนตัวอักษรภาษาจีน ผู้เรียนศึกษาการใช้ภาษาจีนที่ข้องกับเกี่ยวกับการทักทาย การแนะนำตัว 
การปฏิบัติตามคำสั่งๆ และคำขอร้องในการฟังหรืออ่าน สถานการณ์ต่างๆ ในชีวิตประจำวันและนำเสนอข้อมูลที่เกี่ยวข้องกับตนเองอย่างหลากหลาย",อ.ดร.ชัญญภัค,1,ศิลป์-จีน,10,-,✔,,,✔,✔,,,✔,✔,✔,,,,,,
ญ31201,ภาษาญี่ปุ่น 1,3,6,"ศึกษาภาษาและวัฒนธรรมญี่ปุ่น การแนะนำตัว เช่น บอกชื่อ สัญชาติ ชั้นปีที่เรียนอยู่ ฯลฯ แก่ผู้ที่พบกันเป็นครั้งแรก และแนะนำคนที่ตนที่รู้จักให้แก่ผู้อื่นได้ การพาชมโรงเรียน แนะนำสถานที่ต่าง ๆ เช่น อาคารในโรงเรียน ห้องเรียน การถามหา
สถานที่ต่างๆ ได้ เรื่องกิจกรรมในโรงเรียน ถามตอบเกี่ยวกับ
สิ่งที่ชอบในเรื่องอาหาร กีฬา วิชาเรียน ฯลฯ การเดินทางไปโรงเรียน ถามตอบเกี่ยวกับวิธีการและระยะเวลาที่ใช้ใน
การเดินทางไปโรงเรียน ครบทั้งทักษะการฟัง พูด อ่าน เขียน","อ.ดร.กวิตา / 
อ.ทาเคชิ",1,ศิลป์-ญี่ปุ่น,10,-,✔,,,✔,✔,,,✔,✔,✔,,,,,,
ก31201,ภาษาเกาหลี 1,3,6,ศึกษาภาษาและวัฒนธรรมเกาหลี และใช้ทักษะภาษาเกาหลีในการการทักทาย แนะนำตัว ปฏิบัติตามคำสั่งๆ และคำขอร้องในการฟังหรืออ่าน สถานการณ์ต่างๆ ในชีวิตประจำวันและนำเสนอข้อมูลที่เกี่ยวข้องกับตนเองอย่างหลากหลาย,อ.ใหม่,1,ศิลป์-เกาหลี,10,-,✔,,,✔,✔,,,✔,✔,✔,,,,,,
