รายวิชาเพิ่มเติม ม.1  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,จันทร์,พุธ,พุธ,พฤหัสบดี,พฤหัสบดี,ศุกร์,ศุกร์
ศ20220,ปฏิบัตินาฏศิลป์ไทย,1,2,"ศึกษาและฝึกปฏิบัตินาฏศิลป์ไทยขั้นพื้นฐาน โดยเน้นท่ารำ
เบื้องต้น การเคลื่อนไหวร่างกายให้สอดคล้องกับจังหวะดนตรีไทย ฝึกสมาธิ ความอ่อนช้อย และความมีระเบียบวินัย พร้อมทั้งปลูกฝังความภาคภูมิใจในศิลปวัฒนธรรมไทย ผ่านการแสดงนาฏศิลป์ไทย",อ.จุติมาพร,1,20,-,,,,,✔,✔,,
ศ20214,ปฏิบัติการวงโยธวาทิตเบื้องต้น,1,2,ศึกษาการบรรเลงเครื่องดนตรีที่ใช้ในวงโยธวาทิตของโรงเรียน ในระดับมาตรฐานสากล,อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิตที่ผ่าน
การคัดเลือก และเรียนรวม 
ม.1-3",,,,,✔,✔,,
ศ20210,ทักษะการเต้นบัลเลต์พื้นฐาน 1,1,2,"ศึกษาพื้นฐานการเต้นบัลเลต์ซึ่งเป็นพื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่นๆ ฝึกฝนทักษะพื้นฐานในการเต้นบัลเลต์ (ระดับต้น) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทาง
บัลเลต์","อ.ธนิฏฐา / 
อ.ปณิตา",1,8,"เรียนรวม
ม.1-3",,,,,✔,✔,,
กลุ่มสาระการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง20205,โครเชต์เบื้องต้น,1,2,เรียนรู้การถักโครเชต์พื้นฐาน และฝึกการถักโครเชต์,อ.ศิรดา,1,20,-,,,,,✔,✔,,
ง20208,พฤกษาพาสนุก,1,2,"ศึกษาองค์ประกอบและหน้าที่ของพืช  ปฏิบัติการทางด้านพฤกษศาสตร์เบื้องต้น  และการใช้ประโยชน์จากพืชที่
หลากหลาย",อ.โมริสา,1,25,-,,,✔,✔,,,,
ง20201,DIY งานช่างอย่างง่าย,1,2,ฝึกทักษะการใช้เครื่องมือช่าง การสร้างชิ้นงานต้นแบบด้วยวัสดุ ไม้ ปูน ท่อประปา และพลาสติก,ผศ. ดร.นาถวดี ,1,20,-,,,✔,✔,,,,
"กลุ่มสาระการเรียนรู้
ภาษาต่างประเทศ",,,,,,,,,,,,,,,,
อ21201,"เสริมทักษะภาษาอังกฤษ
ขั้นสูง 1",1,2,ศึกษาภาษาอังกฤษสำหรับนักเรียนกลุ่มที่มีความสามารถทางภาษาอังกฤษสูงผ่านประสบการณ์ตรงโดยการลงมือทำ เพื่อเพิ่มพูนประสบการณ์การใช้ภาษา ( enrichment ) มากขึ้น กิจกรรมจะให้นักเรียนมีโอกาสใช้ภาษาอังกฤษโดยเน้นความคิดสร้างสรรค์ การสร้างนวัตกรรม การทำงานร่วมกัน การคิดวิเคราะห์ ให้เกิดความสุขในการเรียน (Fulfillment),"New Teacher / 
อ.กนก",1,23,,,,,,,,"
✔","
✔"
อ20201,"กิจกรรมเพิ่มพูนคำศัพท์
ภาษาอังกฤษ 1",0.5,1,"ศึกษาคำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับ
ความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์ไปใช้งานในชีวิตประจำวันและตามความสนใจ รวมถึงศึกษา
องค์ประกอบของคำ คำความหมายคล้าย ความหมาย
ตรงกันข้าม",อ.ดร.ณัฐมน,1,35,-,,✔,,,,,,
,,,,,อ.อศินา,2,35,,,,,,,✔,,
,,,,,อ.อศินา,3,35,,,,,,,,,✔
